symptom_1,symptom_2,symptom_3,disease,days
fever,cough,headache,fever,3
fever,sore_throat,headache,fever,2
fever,body_ache,weakness,fever,4
fever,cough,shortness_of_breath,COVID-19,7
headache,nausea,vomiting,migraine,15
stomach_pain,diarrhea,fever,migraine,15
skin_rash,itching,red_spots,chickenpox,4
joint_pain,swelling,fever,chickenpox,4
fatigue,dry_mouth,increased_thirst,diabetes,20
weight_loss,night_sweats,fever,diabetes,20
fever,cough,body_ache,flu,5
cough,sore_throat,runny_nose,common_cold,7
fever,chills,sweats,malaria,10
abdominal_pain,nausea,vomiting,food_poisoning,2
fever,rash,joint_pain,dengue,7
headache,dizziness,blurred_vision,migraine,12
stomach_pain,nausea,bloating,gastritis,8
skin_rash,blisters,itching,chickenpox,6
joint_pain,stiffness,swelling,arthritis,15
fatigue,weight_loss,blurred_vision,diabetes,25
fever,sore_throat,body_ache,influenza,5
cough,fever,shortness_of_breath,pneumonia,10
headache,fever,stiff_neck,meningitis,14
abdominal_pain,diarrhea,fever,gastroenteritis,3
fever,joint_pain,rash,zika,5
fatigue,nausea,fever,hepatitis,30
cough,wheezing,shortness_of_breath,asthma,10
fever,chills,muscle_ache,lyme_disease,7
skin_rash,hives,itching,allergy,2
joint_pain,fever,redness,gout,12
fever,headache,muscle_pain,ebola,14
cough,sneezing,runny_nose,allergic_rhinitis,5
fever,weakness,sweating,typhoid,14
stomach_pain,cramps,diarrhea,irritable_bowel_syndrome,20
headache,pressure,nausea,tension_headache,3
fatigue,muscle_pain,joint_pain,fibromyalgia,10
fever,swelling,pain,cellulitis,7
cough,fever,night_sweats,tuberculosis,30
fever,cough,loss_of_taste,COVID-19,14
headache,vomiting,light_sensitivity,migraine,18
stomach_pain,vomiting,fever,appendicitis,2
skin_rash,dry_skin,itching,eczema,6
joint_pain,pain,stiffness,rheumatoid_arthritis,20
fatigue,blurred_vision,thirst,diabetes,15
fever,sore_throat,loss_of_appetite,influenza,6
cough,fever,chest_pain,bronchitis,8
headache,fever,confusion,encephalitis,20
abdominal_pain,nausea,weight_loss,peptic_ulcer,12
fever,joint_pain,muscle_pain,chikungunya,8
fatigue,jaundice,fever,hepatitis,28
cough,shortness_of_breath,chest_pain,COPD,15
fever,rash,muscle_pain,rocky_mountain_spotted_fever,10
skin_rash,swelling,itching,hives,2
joint_pain,swelling,pain,bursitis,12
fever,headache,nausea,yellow_fever,9
cough,wheezing,mucus,bronchitis,7
fever,chills,muscle_pain,sepsis,12
stomach_pain,diarrhea,nausea,gastroenteritis,5
headache,tinnitus,dizziness,meniere's_disease,14
fatigue,weight_loss,night_sweats,lymphoma,25
fever,rash,sore_throat,scarlet_fever,6
cough,fever,sore_throat,pharyngitis,4
headache,fever,chills,sinusitis,5
abdominal_pain,diarrhea,vomiting,norovirus,3
fever,joint_pain,rash,rubella,7
fatigue,dizziness,nausea,anemia,20
cough,shortness_of_breath,fatigue,heart_failure,14
fever,rash,conjunctivitis,measles,10
skin_rash,dry_skin,redness,psoriasis,15
joint_pain,stiffness,fever,lupus,18
fatigue,blurred_vision,hunger,diabetes,22
fever,sore_throat,body_ache,mono,12
cough,fever,mucus,bronchitis,8
headache,neck_stiffness,fever,meningitis,20
abdominal_pain,nausea,loss_of_appetite,hepatitis,30
fever,headache,muscle_pain,dengue,10
fatigue,nausea,jaundice,hepatitis,28
cough,chest_pain,shortness_of_breath,pneumonia,14
fever,rash,muscle_pain,typhoid,15
skin_rash,itching,dry_skin,eczema,4
joint_pain,swelling,stiffness,arthritis,15
fatigue,thirst,blurred_vision,diabetes,20
fever,sore_throat,cough,flu,6
cough,runny_nose,sore_throat,cold,5
headache,fever,nausea,malaria,12
abdominal_pain,vomiting,fever,appendicitis,3
skin_rash,blisters,itching,chickenpox,5
joint_pain,pain,fever,rheumatoid_arthritis,18
fatigue,weight_loss,thirst,diabetes,22
fever,cough,sore_throat,influenza,6
cough,shortness_of_breath,wheezing,asthma,10
headache,vomiting,light_sensitivity,migraine,17
stomach_pain,nausea,fever,gastroenteritis,4
skin_rash,redness,itching,allergy,2
joint_pain,stiffness,swelling,arthritis,15
fatigue,thirst,weight_loss,diabetes,20
fever,sore_throat,runny_nose,common_cold,7
cough,fever,shortness_of_breath,COVID-19,14
headache,nausea,vomiting,migraine,18
stomach_pain,diarrhea,nausea,food_poisoning,3
skin_rash,itching,red_spots,chickenpox,5
joint_pain,swelling,fever,chickenpox,5
fatigue,dry_mouth,increased_thirst,diabetes,21
weight_loss,night_sweats,fever,diabetes,21
